Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÍNDICE DE ACTIVIDAD DEL COMERCIO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIFRAS A PRECIOS CONSTANTES POR CLASE CIIU4.CL 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASE PROMEDIO AÑO 2014 = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Octubre 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mes y año;Índice general/Ref/P/R;Clase 4510;Clase 4530;Clase 4620;Clase 4630;Clase 4641;Clase 4649;Clase 4650;Clase 4661;Clase 4663;Clase 4669;Clase 4690;Clase 4711;Clase 4719;Clase 4720;Clase 4730;Clase 4740;Clase 4752;Clase 4759;Clase 4760;Clase 4771;Clase 4772;Clase 4773;;;;;;;;
;may-17;110,40;116,39;98,16;79,55;102,36;125,41;125,46;106,17;122,55;113,09;89,10;126,62;99,06;119,01;100,95;89,92;179,97;105,59;111,00;87,58;143,70;106,99;105,98;;;;;;;;
;jun-17;105,36;108,70;95,93;76,22;92,59;114,40;120,75;110,47;123,60;103,04;81,70;121,05;99,54;102,75;98,59;86,31;163,01;94,33;99,86;79,17;128,43;100,76;103,72;;;;;;;;
;jul-17;106,01;114,26;98,80;74,98;88,76;127,36;112,81;104,76;127,93;106,35;92,73;119,22;103,71;105,18;100,35;87,35;173,69;96,77;102,03;83,35;126,46;100,99;105,13;;;;;;;;
;ago-17;109,65;131,27;101,79;86,23;96,50;144,00;121,31;105,09;128,02;113,25;121,60;128,54;100,24;99,52;99,48;92,86;173,28;101,11;103,85;88,03;116,81;102,21;105,59;;;;;;;;
;sep-17;110,49;154,54;92,91;91,73;98,29;132,93;116,16;103,60;117,55;99,97;131,12;113,96;107,86;97,61;109,73;92,01;154,78;95,94;96,94;82,06;128,14;100,55;97,12;;;;;;;;
;oct-17;113,16;131,04;96,18;76,01;92,16;151,32;139,75;116,62;122,57;112,74;132,21;123,54;105,44;102,21;100,51;87,57;169,08;104,62;101,16;94,13;123,44;101,81;103,28;;;;;;;;
;nov-17;120,61;140,76;103,38;70,72;103,82;144,29;143,74;137,08;115,99;117,92;121,25;132,85;105,44;119,31;99,40;90,95;198,59;114,97;113,68;97,25;133,11;104,14;102,72;;;;;;;;
;dic-17;140,61;152,89;96,47;75,24;149,67;150,05;118,54;139,08;128,95;123,61;97,16;138,58;135,71;187,96;125,73;91,15;277,25;111,35;172,27;145,52;227,81;119,64;126,72;;;;;;;;
;ene-18;112,34;138,07;103,97;64,87;111,63;158,24;121,13;110,52;124,43;114,92;93,86;125,56;100,88;108,34;96,35;90,55;171,68;115,28;98,56;89,60;130,51;99,93;96,94;;;;;;;;
;feb-18;103,26;112,06;92,54;62,97;106,59;133,96;108,17;96,34;116,69;105,44;77,40;109,80;102,18;105,94;93,40;83,32;158,06;104,91;93,87;107,90;135,79;90,06;90,33;;;;;;;;
