AÑO,GLOSA,ÍNDICE,,,,,,,,
2016-11,BEBIDAS ALCOHÓLICAS Y TABACO,92.19,,,,,,,,
2016-11,VESTUARIO Y CALZADO,111.89,,,,,,,,
2016-11,RECREACIÓN Y CULTURA,96.32,,,,,,,,
2016-11,RESTAURANTES Y HOTELES,94.08,,,,,,,,
2016-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,95.59,,,,,,,,
2016-12,BEBIDAS ALCOHÓLICAS Y TABACO,91.62,,,,,,,,
2016-12,VESTUARIO Y CALZADO,110.88,,,,,,,,
2016-12,RECREACIÓN Y CULTURA,95.56,,,,,,,,
2016-12,RESTAURANTES Y HOTELES,94.64,,,,,,,,
2017-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,95.51,,,,,,,,
2017-01,BEBIDAS ALCOHÓLICAS Y TABACO,94.94,,,,,,,,
2017-01,VESTUARIO Y CALZADO,110.57,,,,,,,,
2017-01,RECREACIÓN Y CULTURA,96.34,,,,,,,,
2017-01,RESTAURANTES Y HOTELES,95.08,,,,,,,,
2017-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,95.95,,,,,,,,
2017-02,BEBIDAS ALCOHÓLICAS Y TABACO,95.38,,,,,,,,
2017-02,VESTUARIO Y CALZADO,111.32,,,,,,,,
2017-02,RECREACIÓN Y CULTURA,94.45,,,,,,,,
2017-02,RESTAURANTES Y HOTELES,95.34,,,,,,,,
2017-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.45,,,,,,,,
2017-03,BEBIDAS ALCOHÓLICAS Y TABACO,95.33,,,,,,,,
2017-03,VESTUARIO Y CALZADO,111.11,,,,,,,,
2017-03,RECREACIÓN Y CULTURA,95.05,,,,,,,,
2017-03,RESTAURANTES Y HOTELES,95.7,,,,,,,,
2017-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.97,,,,,,,,
2017-04,BEBIDAS ALCOHÓLICAS Y TABACO,95.73,,,,,,,,
2017-04,VESTUARIO Y CALZADO,110.13,,,,,,,,
2017-04,RECREACIÓN Y CULTURA,95.06,,,,,,,,
2017-04,RESTAURANTES Y HOTELES,96,,,,,,,,
2017-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.48,,,,,,,,
2017-05,BEBIDAS ALCOHÓLICAS Y TABACO,96.24,,,,,,,,
2017-05,VESTUARIO Y CALZADO,108.94,,,,,,,,
2017-05,RECREACIÓN Y CULTURA,98.25,,,,,,,,
2017-05,RESTAURANTES Y HOTELES,96.09,,,,,,,,
2017-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,95.86,,,,,,,,
2017-06,BEBIDAS ALCOHÓLICAS Y TABACO,96.34,,,,,,,,
2017-06,VESTUARIO Y CALZADO,106.98,,,,,,,,
2017-06,RECREACIÓN Y CULTURA,95.65,,,,,,,,
2017-06,RESTAURANTES Y HOTELES,96.29,,,,,,,,
2017-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.5,,,,,,,,
2017-07,BEBIDAS ALCOHÓLICAS Y TABACO,96.73,,,,,,,,
2017-07,VESTUARIO Y CALZADO,107.04,,,,,,,,
2017-07,RECREACIÓN Y CULTURA,95.94,,,,,,,,
2017-07,RESTAURANTES Y HOTELES,96.71,,,,,,,,
2017-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,97.49,,,,,,,,
2017-08,BEBIDAS ALCOHÓLICAS Y TABACO,97.63,,,,,,,,
2017-08,VESTUARIO Y CALZADO,108.02,,,,,,,,
2017-08,RECREACIÓN Y CULTURA,95.53,,,,,,,,
2017-08,RESTAURANTES Y HOTELES,96.89,,,,,,,,
2017-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.88,,,,,,,,
2017-09,BEBIDAS ALCOHÓLICAS Y TABACO,97.39,,,,,,,,
2017-09,VESTUARIO Y CALZADO,107.11,,,,,,,,
2017-09,RECREACIÓN Y CULTURA,95.03,,,,,,,,
2017-09,RESTAURANTES Y HOTELES,97.17,,,,,,,,
2017-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,97.77,,,,,,,,
2017-10,BEBIDAS ALCOHÓLICAS Y TABACO,98.2,,,,,,,,
2017-10,VESTUARIO Y CALZADO,106.55,,,,,,,,
2017-10,RECREACIÓN Y CULTURA,96.17,,,,,,,,
2017-10,RESTAURANTES Y HOTELES,97.88,,,,,,,,
2017-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,98.46,,,,,,,,
2017-11,BEBIDAS ALCOHÓLICAS Y TABACO,97.9,,,,,,,,
2017-11,VESTUARIO Y CALZADO,105.47,,,,,,,,
2017-11,RECREACIÓN Y CULTURA,97.72,,,,,,,,
2017-11,RESTAURANTES Y HOTELES,98.02,,,,,,,,
2017-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,97.94,,,,,,,,
2017-12,BEBIDAS ALCOHÓLICAS Y TABACO,97.86,,,,,,,,
2017-12,VESTUARIO Y CALZADO,104.28,,,,,,,,
2017-12,RECREACIÓN Y CULTURA,97.64,,,,,,,,
2017-12,RESTAURANTES Y HOTELES,98.33,,,,,,,,
2018-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,99.19,,,,,,,,
2018-01,BEBIDAS ALCOHÓLICAS Y TABACO,99.33,,,,,,,,
2018-01,VESTUARIO Y CALZADO,103.91,,,,,,,,
2018-01,RECREACIÓN Y CULTURA,96.1,,,,,,,,
2018-01,RESTAURANTES Y HOTELES,98.72,,,,,,,,
2018-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,98.59,,,,,,,,
2018-02,BEBIDAS ALCOHÓLICAS Y TABACO,99.44,,,,,,,,
2018-02,VESTUARIO Y CALZADO,104.6,,,,,,,,
2018-02,RECREACIÓN Y CULTURA,95.79,,,,,,,,
2018-02,RESTAURANTES Y HOTELES,99.05,,,,,,,,
2018-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,98.78,,,,,,,,
2018-03,BEBIDAS ALCOHÓLICAS Y TABACO,99.48,,,,,,,,
2018-03,VESTUARIO Y CALZADO,104.83,,,,,,,,
2018-03,RECREACIÓN Y CULTURA,95.84,,,,,,,,
2018-03,RESTAURANTES Y HOTELES,99.5,,,,,,,,
2018-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,99.2,,,,,,,,
2018-04,BEBIDAS ALCOHÓLICAS Y TABACO,100.04,,,,,,,,
2018-04,VESTUARIO Y CALZADO,104.44,,,,,,,,
2018-04,RECREACIÓN Y CULTURA,95.56,,,,,,,,
2018-04,RESTAURANTES Y HOTELES,99.59,,,,,,,,
2018-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,98.95,,,,,,,,
2018-05,BEBIDAS ALCOHÓLICAS Y TABACO,100.61,,,,,,,,
2018-05,VESTUARIO Y CALZADO,103.53,,,,,,,,
2018-05,RECREACIÓN Y CULTURA,97.46,,,,,,,,
2018-05,RESTAURANTES Y HOTELES,99.64,,,,,,,,
2018-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,99.31,,,,,,,,
2018-06,BEBIDAS ALCOHÓLICAS Y TABACO,100.33,,,,,,,,
2018-06,VESTUARIO Y CALZADO,101.84,,,,,,,,
2018-06,RECREACIÓN Y CULTURA,96.7,,,,,,,,
2018-06,RESTAURANTES Y HOTELES,99.82,,,,,,,,
2018-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,99.63,,,,,,,,
2018-07,BEBIDAS ALCOHÓLICAS Y TABACO,100.74,,,,,,,,
2018-07,VESTUARIO Y CALZADO,101.32,,,,,,,,
2018-07,RECREACIÓN Y CULTURA,97.27,,,,,,,,
2018-07,RESTAURANTES Y HOTELES,100.32,,,,,,,,
2018-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,100.09,,,,,,,,
2018-08,BEBIDAS ALCOHÓLICAS Y TABACO,100.92,,,,,,,,
2018-08,VESTUARIO Y CALZADO,101.88,,,,,,,,
2018-08,RECREACIÓN Y CULTURA,96.76,,,,,,,,
2018-08,RESTAURANTES Y HOTELES,100.45,,,,,,,,
2018-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,100.5,,,,,,,,
2018-09,BEBIDAS ALCOHÓLICAS Y TABACO,100.31,,,,,,,,
2018-09,VESTUARIO Y CALZADO,101.42,,,,,,,,
2018-09,RECREACIÓN Y CULTURA,97.42,,,,,,,,
2018-09,RESTAURANTES Y HOTELES,100.54,,,,,,,,
2018-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,101.19,,,,,,,,
2018-10,BEBIDAS ALCOHÓLICAS Y TABACO,101.13,,,,,,,,
2018-10,VESTUARIO Y CALZADO,100.91,,,,,,,,
2018-10,RECREACIÓN Y CULTURA,98.05,,,,,,,,
2018-10,RESTAURANTES Y HOTELES,101.04,,,,,,,,
2018-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,101.55,,,,,,,,
2018-11,BEBIDAS ALCOHÓLICAS Y TABACO,100.99,,,,,,,,
